name_of_action,timestamp
Ingrediente cu stocul sub 50%,26/04/2022 17:10
Creare comanda,27/04/2022 11:18
Afisare angajati cu salariul mai mic de..,26/05/2022 15:31
Afisare angajati cu salariul mai mic de..,26/05/2022 16:49
Vizualizare cofetarii,26/05/2022 20:35
Obtinere lista cu cofetarii deschise,26/05/2022 20:35
Adaugare client,26/05/2022 21:06
Interogare numar telefon client dupa nume,26/05/2022 21:06
Interogare numar telefon client dupa nume,26/05/2022 21:06
Adaugare client,26/05/2022 21:09
Interogare numar telefon client dupa nume,26/05/2022 21:09
Obtinere lista cu cofetarii deschise,26/05/2022 21:09
Adaugare client,26/05/2022 21:12
Interogare numar telefon client dupa nume,26/05/2022 21:12
Ingrediente cu stocul sub 50%,26/05/2022 21:12
Afisare angajati cu salariul mai mic de..,26/05/2022 21:14
Afisare angajati cu salariul mai mic de..,26/05/2022 21:16
Actualizare numar telefon sofer livrari,26/05/2022 21:17
Schimbare parola operator comenzi,26/05/2022 21:20
Schimbare parola operator comenzi,26/05/2022 21:20
Vizualizare cofetarii,26/05/2022 21:20
Schimbare parola operator comenzi,26/05/2022 21:20
Stergere client,26/05/2022 23:06
Vizualizare cofetarii,26/05/2022 23:07
Obtinere lista cu cofetarii deschise,26/05/2022 23:07
Vizualizare cofetarii,26/05/2022 23:07
Adaugare client,26/05/2022 23:08
Interogare numar telefon client dupa nume,26/05/2022 23:09
Interogare numar telefon client dupa nume,26/05/2022 23:09
Ingrediente cu stocul sub 50%,26/05/2022 23:09
Ingrediente cu stocul sub 50%,26/05/2022 23:14
Ingrediente cu stocul sub 50%,26/05/2022 23:15
Ingrediente cu stocul sub 50%,26/05/2022 23:16
Actualizare stoc reaprovizionare,26/05/2022 23:16
Ingrediente cu stocul sub 50%,26/05/2022 23:16
Creare si adaugare prajitura ( fara discount ),26/05/2022 23:19
Stergere produs dupa ID,26/05/2022 23:20
Creare comanda,26/05/2022 23:20
Afisare angajati cu salariul mai mic de..,26/05/2022 23:21
Actualizare numar telefon sofer livrari,26/05/2022 23:21
Schimbare parola operator comenzi,26/05/2022 23:21
Stergere client,26/05/2022 23:22